dataId,trsmDy,trmnId,trsmUtcTime,trsmYear,trsmMt,trsmTm,trsmMs,vhcleLot,vhcleLat,vhcleEvt,trmnTypeCd,gpsUtcTime,vhcleDrc,vhcleSped,trnsmStatCd,lcdtRevisnStatCd,vhcleTypeCd,rgtrId,regDt,addr
PVDL-IDV1257458060-1722545846-30088,2,IDV1257458060,1722575945024.0,2024,08,141905,024,126.899475,37.57972,11.0,001,1722575945009.0,132.25,0.0,7,0,9228,v2x,2024-08-02 05:19:05,은평구
PVDL-IDV1257453870-1722562495-13440,2,IDV1257453870,1722575945060.0,2024,08,141905,060,126.9218393,37.6183468,44.0,001,1722575945004.0,323.9875,20.0,2,2,9228,v2x,2024-08-02 05:19:05,은평구
PVDL-IDV1257453170-1722548525-27410,2,IDV1257453170,1722575945061.0,2024,08,141905,061,127.0011636,37.5709945,42.0,001,1722575945001.0,82.98750000000001,0.0,2,2,9228,v2x,2024-08-02 05:19:05,종로구
PVDL-IDV1257449850-1722567393-8541,2,IDV1257449850,1722575945064.0,2024,08,141905,064,127.028553,37.49549,87.0,001,1722575945001.0,341.38750000000005,31.0,2,0,9228,v2x,2024-08-02 05:19:05,서초구
PVDL-IDV1257445600-1722565908-10027,2,IDV1257445600,1722575945067.0,2024,08,141905,067,126.964274,37.568438,44.0,001,1722575945009.0,327.05,31.0,2,0,9228,v2x,2024-08-02 05:19:05,종로구
PVDL-IDV1257443710-1722555872-20069,2,IDV1257443710,1722575945001.0,2024,08,141905,001,126.97272,37.555189,48.0,001,1722575945009.0,181.0875,0.0,7,0,9228,v2x,2024-08-02 05:19:05,중구
PVDL-IDV1257443410-1722567878-8057,2,IDV1257443410,1722575945076.0,2024,08,141905,076,126.982866,37.570409,102.0,001,1722575945002.0,88.8875,33.0,7,0,9228,v2x,2024-08-02 05:19:05,종로구
PVDL-IDV1257441680-1722575413-534,2,IDV1257441680,1722575945051.0,2024,08,141905,051,127.001531,37.570955,44.0,001,1722575945008.0,87.125,0.0,1,0,9228,v2x,2024-08-02 05:19:05,종로구
PVDL-IDV1257441320-1722537121-38820,2,IDV1257441320,1722575945009.0,2024,08,141905,009,126.9710753,37.5696626,23.0,001,1722575945003.0,229.9875,29.0,2,1,9228,v2x,2024-08-02 05:19:05,종로구
PVDL-IDV1257440090-1722572544-3391,2,IDV1257440090,1722575945056.0,2024,08,141905,056,127.027372,37.623251,49.0,001,1722575945010.0,161.13750000000002,0.0,2,0,9228,v2x,2024-08-02 05:19:05,강북구
PVDL-IDV1257433820-1722574628-1318,2,IDV1257433820,1722575945052.0,2024,08,141905,052,127.058984,37.502711,49.0,001,1722575945009.0,338.82500000000005,0.0,1,0,9228,v2x,2024-08-02 05:19:05,강남구
PVDL-IDV1257432440-1722540582-35358,2,IDV1257432440,1722575945079.0,2024,08,141905,079,127.021101,37.511398,57.0,001,1722575945004.0,163.4875,0.0,2,0,9228,v2x,2024-08-02 05:19:05,서초구
PVDL-IDV1257431920-1722562929-13005,2,IDV1257431920,1722575945014.0,2024,08,141905,014,126.992823,37.534334,50.0,001,1722575945000.0,88.45,10.0,2,0,9228,v2x,2024-08-02 05:19:05,용산구
PVDL-IDV1257425610-1722573654-2280,2,IDV1257425610,1722575945090.0,2024,08,141905,090,126.969353,37.562444,43.0,001,1722575945009.0,147.875,0.0,2,0,9228,v2x,2024-08-02 05:19:05,중구
PVDL-IDV1257423000-1722566436-9498,2,IDV1257423000,1722575945022.0,2024,08,141905,022,127.036163,37.651017,40.0,001,1722575945007.0,27.375,0.0,2,0,9228,v2x,2024-08-02 05:19:05,도봉구
PVDL-IDV1257422400-1722546451-29520,2,IDV1257422400,1722575945019.0,2024,08,141905,019,126.992233,37.524915,3.0,001,1722575945005.0,152.475,3.0,7,0,9228,v2x,2024-08-02 05:19:05,용산구
PVDL-IDV1257418510-1722570898-5037,2,IDV1257418510,1722575945069.0,2024,08,141905,069,127.008552,37.567307,36.0,001,1722575945008.0,210.57500000000002,0.0,2,0,9228,v2x,2024-08-02 05:19:05,중구
PVDL-IDV1257412480-1722545525-30409,2,IDV1257412480,1722575945061.0,2024,08,141905,061,127.0095123,37.5714013,71.0,001,1722575945002.0,75.9875,23.0,2,7,9228,v2x,2024-08-02 05:19:05,종로구
PVDL-IDV1257412250-1722553997-21974,2,IDV1257412250,1722575945046.0,2024,08,141905,046,127.09676,37.589221,49.0,001,1722575945008.0,19.900000000000002,0.0,7,0,9228,v2x,2024-08-02 05:19:05,중랑구
PVDL-IDV1257132830-1722564070-11865,2,IDV1257132830,1722575945094.0,2024,08,141905,094,126.959129,37.517489,28.0,001,1722575945004.0,18.6625,3.0,2,0,9228,v2x,2024-08-02 05:19:05,용산구
PVDL-IDV1257132270-1722573559-2375,2,IDV1257132270,1722575945058.0,2024,08,141905,058,127.044674,37.690102,43.0,001,1722575945008.0,85.3125,15.0,2,0,9228,v2x,2024-08-02 05:19:05,도봉구
PVDL-IDV1257118230-1722570424-5511,2,IDV1257118230,1722575945089.0,2024,08,141905,089,126.974571,37.55968,47.0,001,1722575945007.0,188.7375,38.0,2,0,9228,v2x,2024-08-02 05:19:05,중구
PVDL-IDV1257066740-1722570223-5748,2,IDV1257066740,1722575945012.0,2024,08,141905,012,126.910684,37.493982,40.0,001,1722575945008.0,30.9375,0.0,1,0,9228,v2x,2024-08-02 05:19:05,동작구
PVDL-IDV1257065910-1722565792-10143,2,IDV1257065910,1722575945049.0,2024,08,141905,049,127.069099,37.456493,87.0,001,1722575945001.0,64.6375,24.0,1,0,9228,v2x,2024-08-02 05:19:05,서초구
PVDL-IDV948000601-1722575140-794,2,IDV948000601,1722575944401.0,2024,08,141904,401,126.8989694,37.5764717,37.0,001,1722575943900.0,130.0,0.0,1,-1,9217,v2x,2024-08-02 05:19:04,마포구
PVDL-IDV1257540250-1722572588-3361,2,IDV1257540250,1722575944438.0,2024,08,141904,438,127.09549,37.594706,39.0,001,1722575944005.0,257.325,0.0,2,0,9228,v2x,2024-08-02 05:19:04,중랑구
PVDL-IDV1257534510-1722551328-24612,2,IDV1257534510,1722575944067.0,2024,08,141904,067,126.863593,37.532896,26.0,001,1722575944001.0,173.28750000000002,0.0,2,0,9228,v2x,2024-08-02 05:19:04,강서구
PVDL-IDV1257531000-1722567692-8242,2,IDV1257531000,1722575944025.0,2024,08,141904,025,127.016193,37.509546,42.0,001,1722575944003.0,249.775,22.0,1,0,9228,v2x,2024-08-02 05:19:04,서초구
PVDL-IDV1257530690-1722548158-27782,2,IDV1257530690,1722575944427.0,2024,08,141904,427,127.104305,37.613214,42.0,001,1722575944004.0,147.925,0.0,2,0,9228,v2x,2024-08-02 05:19:04,중랑구
PVDL-IDV1257529270-1722567591-8348,2,IDV1257529270,1722575944382.0,2024,08,141904,382,127.052466,37.618882,24.0,001,1722575944006.0,235.0,0.0,2,0,9228,v2x,2024-08-02 05:19:04,성북구
PVDL-IDV1257529260-1722539809-36125,2,IDV1257529260,1722575944442.0,2024,08,141904,442,127.057774,37.610021,33.0,001,1722575944009.0,142.38750000000002,0.0,2,0,9228,v2x,2024-08-02 05:19:04,성북구
PVDL-IDV1257529250-1722570378-5593,2,IDV1257529250,1722575944916.0,2024,08,141904,916,127.054408,37.588905,58.0,001,1722575945001.0,225.38750000000002,21.0,2,0,9228,v2x,2024-08-02 05:19:04,동대문구
PVDL-IDV1257529250-1722570378-5592,2,IDV1257529250,1722575944661.0,2024,08,141904,661,127.054451,37.588943,57.0,001,1722575944008.0,228.8375,19.0,2,0,9228,v2x,2024-08-02 05:19:04,동대문구
PVDL-IDV1257529230-1722572160-3771,2,IDV1257529230,1722575944203.0,2024,08,141904,203,127.045557,37.680829,42.0,001,1722575944004.0,185.82500000000002,6.0,7,0,9228,v2x,2024-08-02 05:19:04,도봉구
PVDL-IDV1257529150-1722574856-1078,2,IDV1257529150,1722575944424.0,2024,08,141904,424,127.104311,37.614153,44.0,001,1722575944006.0,360.0,0.0,1,0,9228,v2x,2024-08-02 05:19:04,중랑구
